species,A_lower,A_upper,k_lower,k_upper,p_lower,p_upper
acacia nilotica,0,100,0.001,1,0.1,4
aegle marmelos,0,50,0.001,1,0.1,4
albizia lebbeck,0,100,0.001,1,0.1,4
albizia procera,0,120,0.001,1,0.1,4
anacardium occidentale,0,60,0.001,1,0.1,4
annona squamosa,0,30,0.001,1,0.1,4
areca catechu,0,30,0.001,1,0.1,4
artocarpus heterophyllus,0,80,0.001,1,0.1,4
azadirachta indica,0,90,0.001,1,0.1,4
bauhinia variegata,0,50,0.001,1,0.1,4
bombax ceiba,0,150,0.001,1,0.1,4
butea monosperma,0,60,0.001,1,0.1,4
cassia fistula,0,40,0.001,1,0.1,4
casuarina equisetifolia,0,50,0.001,1,0.1,4
cinnamomum verum,0,40,0.001,1,0.1,4
citrus limon,0,30,0.001,1,0.1,4
cocos nucifera,0,50,0.001,1,0.1,4
dalbergia latifolia,0,160,0.001,1,0.1,4
dalbergia sissoo,0,150,0.001,1,0.1,4
ficus benghalensis,0,250,0.001,1,0.1,4
ficus religiosa,0,200,0.001,1,0.1,4
garcinia indica,0,80,0.001,1,0.1,4
gliricidia sepium,0,40,0.001,1,0.1,4
gmelina arborea,0,100,0.001,1,0.1,4
grevillea robusta,0,60,0.001,1,0.1,4
hardwickia binata,0,60,0.001,1,0.1,4
holoptelea integrifolia,0,100,0.001,1,0.1,4
khaya senegalensis,0,120,0.001,1,0.1,4
lagerstroemia speciosa,0,120,0.001,1,0.1,4
limonia acidissima,0,80,0.001,1,0.1,4
litchi chinensis,0,40,0.001,1,0.1,4
madhuca longifolia,0,150,0.001,1,0.1,4
mangifera indica,0,120,0.001,1,0.1,4
manilkara zapota,0,80,0.001,1,0.1,4
mimusops elengi,0,80,0.001,1,0.1,4
moringa oleifera,0,40,0.001,1,0.1,4
neolamarckia cadamba,0,140,0.001,1,0.1,4
phyllanthus emblica,0,80,0.001,1,0.1,4
pongamia pinnata,0,80,0.001,1,0.1,4
psidium guajava,0,40,0.001,1,0.1,4
punica granatum,0,40,0.001,1,0.1,4
swietenia mahagoni,0,150,0.001,1,0.1,4
syzygium cumini,0,130,0.001,1,0.1,4
tamarindus indica,0,100,0.001,1,0.1,4
tectona grandis,0,150,0.001,1,0.1,4
terminalia arjuna,0,100,0.001,1,0.1,4
terminalia bellirica,0,140,0.001,1,0.1,4
thespesia populnea,0,100,0.001,1,0.1,4
